"date","AU_(Other)","JP_(Other)","NZ_(Other)","AU_Affiliates","JP_Affiliates","NZ_Affiliates","AU_Direct","JP_Direct","NZ_Direct","AU_Display","JP_Display","NZ_Display","AU_Email","JP_Email","NZ_Email","JP_Organic Search","NZ_Organic Search","JP_Paid Search","NZ_Paid Search","AU_Paid Social","JP_Paid Social","AU_Referral","JP_Referral","NZ_Referral","AU_Social","JP_Social","NZ_Social","NZ_Paid Social","AU_Other Advertising","JP_Other Advertising","NZ_Other Advertising","AU_SEM"
2020-11-06,0,389.213439,0,1735.737703,151.95,0,3124.160507,6035.075692,287.767384,0,4747.636526,0,84.457644,6424.293479,120.222087,14760.092386,89.842868,13557.113727,349.878603,130.5037,415.7382,5557.374295,12994.09095,0,333.509457,1532.957404,0,0,0,0,0,12660.879956
2020-11-07,0,290.602061,0,1298.726624,0,0,4382.381264,8806.559166,56.742864,0,4756.088755,0,348.336081,5348.322752,0,19976.678526,345.412098,15791.636157,772.511713,253.913633,0,8219.930226,11428.181436,293.580681,0,1322.186157,0,0,0,0,0,15490.153812
2020-11-08,0,1001.21776,0,1882.927574,0,0,4247.389069,9169.492659,183.033016,0,3868.91056,0,311.636226,12017.928436,81.348007,20824.055321,1782.315951,18080.970582,1612.750777,174.341944,0,8908.337397,14442.421125,610.144665,232.455925,1080.096129,0,0,0,0,0,16984.196768
2020-11-09,0,559.801746,0,1532.654558,0,0,4683.696329,6183.162687,101.685009,0,3405.075156,0,703.179176,4656.466718,0,17792.991542,421.653838,15445.380135,1283.264812,319.626898,0,8616.763418,19620.397995,551.810649,159.813449,760.546554,0,0,0,0,0,13885.162729
2020-11-10,0,349.129274,0,3140.823535,0,57.29476,6349.178825,5695.597318,210.901494,0,4012.047219,0,9413.41062,5894.981368,0,17918.352236,375.048988,19035.960494,526.805189,0,0,8899.170721,19938.459953,416.069091,247.794641,702.438809,0,0,0,0,0,16491.582595
2020-11-11,0,287.330737,0,1619.579988,0,0,3106.633782,5075.932266,0,0,3324.842477,0,3737.755252,6787.591341,0,12960.951076,94.95,19413.84964,170.520119,160.337709,0,10055.602462,6322.018829,0,232.359077,622.085262,0,0,0,0,0,13502.824011
2020-11-12,166.708197,919.894409,0,1995.347241,0,0,3093.885166,5802.358247,0,0,2691.808258,0,1569.629088,6395.694996,0,15456.702852,0,12173.069729,0,167.334291,33.379346,7930.184149,4452.900214,0,160.163341,734.906116,0,0,0,0,0,17339.37767
2020-11-13,0,512.325955,0,1599.625363,0,0,7318.328731,5108.696174,0,0,1747.463778,0,812.322446,9883.765069,0,17921.737247,0,15904.592823,0,536.432649,0,7322.410904,9731.578055,0,479.123295,2282.759616,0,0,0,0,0,13829.800568
2020-11-14,0,425.809321,0,1934.04519,0,0,3520.922493,3661.102537,0,0,2718.938614,0,130.677779,7785.876733,0,18745.49858,0,18603.900259,0,319.43457,0,5863.821704,5096.965756,0,470.983695,1313.190019,0,0,0,0,0,14873.285043
2020-11-15,72.618861,730.792583,0,855.41881,0,0,3041.092584,7828.069909,0,0,2174.773457,0,985.342132,10681.896002,0,22804.579115,0,18873.656978,0,341.308648,0,6781.338047,8431.666336,0,0,1422.049609,0,0,0,0,0,15940.003555
2020-11-16,0,352.897827,0,1394.173213,0,0,6180.47512,8879.285504,0,0,3684.526376,0,634.68885,7824.14392,0,17330.615566,0,19132.867428,0,0,0,6590.038229,5495.161481,0,0,968.845844,0,0,0,0,0,15297.582688
2020-11-17,0,290.159107,0,2245.276632,84.023292,0,4745.349911,4886.405701,0,0,4387.711844,0,708.999861,3933.931993,0,14259.921262,129.85,18985.184071,0,281.260976,0,9238.426102,4182.525885,0,0,797.362224,0,0,0,0,0,13486.38663
2020-11-18,0,353.631786,0,1834.665069,0,0,4710.813945,5339.821502,0,0,3313.428277,0,467.511951,5836.305901,0,14620.038741,0,16426.162639,0,42.324441,274.460492,6974.070789,2651.814023,0,248.515415,884.84845,0,0,0,0,0,13283.631371
2020-11-19,0,137.708274,0,1323.30754,0,0,4913.242429,7511.319604,0,0,3286.309516,0,42.392082,4311.273957,0,12199.048765,0,20105.380369,0,116.841463,137.708274,7106.414858,3409.044927,0,130.06667,857.101832,0,0,0,0,0,14636.674524
2020-11-20,165.814115,158.815504,0,2828.219238,0,0,4032.617096,7632.984728,0,0,3934.309903,0,2191.716696,13284.542498,0,16413.57443,0,19088.172735,0,189.177543,174.697055,6468.980429,6340.475624,0,0,3635.921651,0,0,0,0,0,9351.685131
2020-11-21,94.922046,523.623993,0,1758.179812,62.506627,0,6297.711907,8379.388764,0,0,4991.589365,0,699.689418,13881.370912,0,21641.932733,0,18301.113092,0,248.011828,78.348982,5920.371202,6080.044053,0,336.007243,2743.794471,0,0,0,0,0,17903.56116
2020-11-22,0,359.551244,0,2349.680459,0,0,6137.332834,8746.686499,0,0,5529.93431,0,810.786342,19479.156783,0,19661.456294,0,23415.109127,0,189.917138,146.193494,4554.059054,5243.706227,0,178.883374,851.158164,0,0,0,0,0,15778.74603
2020-11-23,109.565153,670.795073,0,3169.167818,0,0,8613.486433,9643.830036,0,0,4916.608515,0,37126.941041,21178.525563,0,26672.146923,0,30191.816701,0,340.185192,31.781194,13181.871237,7318.053346,0,332.705544,1885.154501,0,0,0,0,0,17495.240509
2020-11-24,5366.35003,58.051241,0,4354.563187,0,0,5013.644512,7826.164018,0,0,3581.012326,0,7554.628032,17378.547462,0,19960.433503,0,21662.19977,0,0,0,8557.605128,6380.945168,0,281.216195,1500.677368,0,0,0,0,0,20536.639089
2020-11-25,1975.351408,114.946162,0,4529.638245,0,0,5464.376362,5673.86352,0,0,2732.344056,0,5857.245496,8475.194661,0,14978.034315,0,18200.415497,0,242.41154,173.68239,10010.056119,4749.342599,0,225.652951,836.680224,0,0,0,0,0,19832.856538
2020-11-26,595.755915,587.969203,0,15172.625093,178.076693,0,14613.907873,5211.845013,0,0,2532.087692,0,25505.970543,8981.770222,0,14495.593302,235.427074,13485.082425,0,66.152331,0,26889.277584,2959.757595,0,171.303213,430.916636,0,0,0,0,0,49690.365422
